customer_id,company_name,company_size,company_type,industry,country,created_at,acquisition_channel,is_active
cust_acd87ed1,"Rodriguez, Figueroa and Sanchez",1-10,Startup,Retail,CU,2024-10-13,Content Marketing,True
cust_3e0ebba3,Rhodes PLC,11-50,Startup,Retail,BT,2024-08-17,Partner,False
cust_ed1dd98a,Johnson-Davis,1-10,Enterprise,Technology,HT,2024-07-15,Organic,True
cust_791c82c1,"Johnson, Gonzalez and Santos",11-50,Startup,Education,ST,2024-06-11,Paid Search,True
cust_6ad6cb37,Cole LLC,1000+,Enterprise,Healthcare,AF,2024-10-21,Referral,True
cust_7c6b02b2,Wolfe LLC,1-10,SMB,Retail,IT,2024-03-01,Referral,True
cust_8ba70002,Bernard LLC,11-50,SMB,Media,CA,2024-02-06,Content Marketing,True
cust_eebf5978,Davis-Abbott,201-1000,Startup,Finance,UY,2024-04-12,Content Marketing,True
cust_ef234ff6,Blair PLC,1-10,Enterprise,Education,CM,2024-12-24,Organic,False
cust_a9dc6324,Miller-Carter,201-1000,Startup,Education,YE,2024-08-28,Content Marketing,True
cust_1dc440aa,Ray-Bush,1000+,Mid-Market,Education,BD,2024-09-13,Paid Search,True
cust_8da109b7,Mejia Inc,1-10,SMB,Media,HT,2024-12-02,Content Marketing,False
cust_bd57770a,James Group,11-50,Startup,Manufacturing,ZW,2024-11-19,Content Marketing,True
cust_b5255d9e,Martin-Kelly,51-200,SMB,Finance,SV,2024-04-13,Content Marketing,True
cust_b84f4984,"Zuniga, Wong and Lynch",51-200,Startup,Education,DO,2024-07-26,Partner,True
cust_eee03a5d,"Sanchez, Ford and Nelson",11-50,SMB,Manufacturing,DZ,2024-09-24,Referral,True
cust_9a1ac697,"Robinson, Nguyen and Tate",1000+,SMB,Retail,BG,2024-03-29,Content Marketing,True
cust_3d88e46f,Trujillo Group,1-10,SMB,Media,IQ,2024-01-26,Organic,True
cust_e9ac64cd,Gentry PLC,201-1000,Mid-Market,Technology,VC,2024-05-02,Paid Search,False
cust_c24d247b,Rios Group,1000+,Mid-Market,Healthcare,BA,2024-06-27,Partner,True
cust_536a86ef,Baker and Sons,201-1000,SMB,Finance,CH,2024-08-06,Paid Search,True
cust_64f3b0bd,"Baker, Richards and Hurst",1000+,Mid-Market,Retail,MZ,2024-05-20,Direct Sales,True
cust_1b29293b,Osborn and Sons,1000+,Enterprise,Finance,SE,2024-07-10,Paid Search,False
cust_bb903637,Campos Inc,11-50,Enterprise,Technology,DE,2024-08-31,Organic,False
cust_bd8fe245,Conner Group,11-50,SMB,Media,UG,2024-01-25,Partner,True
cust_7f2be150,James-Ferrell,1-10,Enterprise,Manufacturing,SM,2024-04-07,Direct Sales,False
cust_21c418b8,"Valencia, Smith and Le",1000+,Mid-Market,Education,KZ,2024-12-09,Organic,True
